X;Y;ID;NOMBRE;CALLE1;CALLE2;INTERSEC;INAUGURA;LIN_SENT_N;LIN_SENT_S;METROBUS
-58.4270279569102;-34.5779921345942;189;JUAN B. JUSTO;SANTA FE AV;;ENTRE AV JUAN B JUSTO Y HUMBOLDT;SI;;64 - 68 - 161;CENTRO DE TRANSBORDO PACIFICO
-58.4279787011638;-34.5776700888618;190;HUMBOLDT;SANTA FE AV;;ENTRE HUMBOLDT Y FITZ ROY;SI;;41 - 57 - 67 - 194;CENTRO DE TRANSBORDO PACIFICO
-58.4272111534797;-34.5776161481242;191;REGIMIENTO PATRICIOS;SANTA FE AV;;ENTRE HUMBOLDT Y AV BULLRICH;SI;15 - 55 - 60;;CENTRO DE TRANSBORDO PACIFICO
-58.4295566151528;-34.5771677583331;192;FITZ ROY;SANTA FE AV;;ENTRE FITZ ROY Y BONPLAND;SI;41 - 60 - 67 - 68 - 152 - 161;;CENTRO DE TRANSBORDO PACIFICO
-58.4463801333485;-34.5691795973681;193;TEODORO GARCIA;CABILDO AV;;ENTRE TEODORO GARCIA Y PALPA;SI;41 - 63 - 67;;METROBUS NORTE - AV CABILDO
-58.3693190673594;-34.614190013419;194;MEXICO;PASEO COLON AV.;;ENTRE MEXICO Y REP. BOLIVARIANA DE VENEZUELA;SI;;33 - 143 - 159;METROBUS DEL BAJO
-58.3692521702092;-34.6152893121951;195;CHILE;PASEO COLON AV.;;ENTRE CHILE Y MEXICO;SI;;8 - 74 - 86 - 93;METROBUS DEL BAJO
-58.3692453898642;-34.6164565178943;196;AV INDEPENDENCIA;PASEO COLON AV.;;ENTRE AV INDEPENDENCIA Y CHILE;SI;;61 - 64 - 130 - 152;METROBUS DEL BAJO
-58.3690046313554;-34.6164382369327;197;AV INDEPENDENCIA;PASEO COLON AV.;;ENTRE AV INDEPENDENCIA Y CHILE;SI;29 - 62 - 152;;METROBUS DEL BAJO
-58.3691044267012;-34.6152846748632;198;CHILE;PASEO COLON AV.;;ENTRE CHILE Y MEXICO;SI;33 - 64 - 130 -143;;METROBUS DEL BAJO
-58.3691767978925;-34.6141853803654;199;MEXICO;PASEO COLON AV.;;ENTRE MEXICO Y REP. BOLIVARIANA DE VENEZUELA;SI;74 - 93 - 159;;METROBUS DEL BAJO
-58.3694640530669;-34.6117652199006;200;AV BELGRANO;PASEO COLON AV.;;ENTRE AV BELGRANO Y MORENO;SI;;61 - 64 - 93 - 111 - 130 - 152;METROBUS DEL BAJO
-58.3694872757394;-34.6105708813883;201;MORENO;PASEO COLON AV.;;ENTRE MORENO Y ADOLFO ALSINA;SI;;8 - 33 - 74 - 86 - 143 - 159;METROBUS DEL BAJO
-58.3695209863806;-34.6097837176594;202;ALSINA;PASEO COLON AV.;;ENTRE ADOLFO ALSINA E HIPOLITO YRIGOYEN;SI;;195;METROBUS DEL BAJO
-58.3694225039444;-34.6097745942508;203;ALSINA;PASEO COLON AV.;;ENTRE ADOLFO ALSINA E HIPOLITO YRIGOYEN;SI;195;;METROBUS DEL BAJO
-58.3693887822543;-34.6105708060988;204;MORENO;PASEO COLON AV.;;ENTRE MORENO Y ADOLFO ALSINA;SI;29 - 64 - 74 - 93 - 159;;METROBUS DEL BAJO
-58.3693217927934;-34.6117560629484;205;AV BELGRANO;PASEO COLON AV.;;ENTRE AV BELGRANO Y MORENO;SI;33 - 62 - 130 - 143 - 152;;METROBUS DEL BAJO
-58.3700628160926;-34.6047488296103;206;PERON;ALEM LEANDRO N. AV.;;ENTRE PERON JUAN D Y SARMIENTO;SI;7 - 22 - 28 - 33 - 126 - 143;;METROBUS DEL BAJO
-58.3701461029791;-34.6036540649886;207;SARMIENTO;ALEM LEANDRO N. AV.;;ENTRE SARMIENTO Y AV CORRIENTES;SI;56 - 62 - 91 - 93 - 130 - 152;;METROBUS DEL BAJO
-58.3702719353077;-34.603663208537;208;SARMIENTO;ALEM LEANDRO N. AV.;;ENTRE SARMIENTO Y AV CORRIENTES;SI;;22 - 28 - 50 - 56 - 91 - 126;METROBUS DEL BAJO
-58.370471486762;-34.6013289325984;209;LAVALLE;ALEM LEANDRO N. AV.;;ENTRE LAVALLE Y TUCUMAN;SI;;7 - 33 - 143 - 195;METROBUS DEL BAJO
-58.370377223833;-34.6024598822269;210;AV CORRIENTES;ALEM LEANDRO N. AV.;;ENTRE AV CORRIENTES Y LAVALLE;SI;;61 - 93 - 130 - 152;METROBUS DEL BAJO
-58.3714109818113;-34.5977556115955;211;AV CORDOBA;ALEM LEANDRO N. AV.;;ENTRE AV CORDOBA Y PARAGUAY;SI;7 - 22 - 33 - 62 - 143 - 152;;METROBUS DEL BAJO
-58.3715860495134;-34.5977602665272;212;AV CORDOBA;ALEM LEANDRO N. AV.;;ENTRE AV CORDOBA Y PARAGUAY;SI;;22 - 28 - 50 - 56 - 61 - 126 - 152;METROBUS DEL BAJO
-58.3706041552246;-34.6000984818086;213;TUCUMAN;ALEM LEANDRO N. AV.;;ENTRE TUCUMAN Y VIAMONTE;SI;6 - 26 - 50 - 195;;METROBUS DEL BAJO
-58.370889885881;-34.5989812480293;214;VIAMONTE;ALEM LEANDRO N. AV.;;ENTRE VIAMONTE Y AV CORDOBA;SI;23 - 93 - 115 - 130;;METROBUS DEL BAJO
-58.3730336804268;-34.5947075794747;215;RICARDO ROJAS;ALEM LEANDRO N. AV.;;ENTRE RICARDO ROJAS Y SAN MARTIN;SI;;7 - 33 - 143;METROBUS DEL BAJO
-58.3726225191759;-34.5954944681167;216;MARCELO T. DE ALVEAR;ALEM LEANDRO N. AV.;;ENTRE MARCELO T. DE ALVEAR Y RICARDO ROJAS;SI;;5 - 9- 45 - 91 - 93 - 130;METROBUS DEL BAJO
-58.3720741545137;-34.5966703249932;217;PARAGUAY;ALEM LEANDRO N. AV.;;ENTRE PARAGUAY Y MARCELO T. DE ALVEAR;SI;;6 - 23 - 26 -115 - 132;METROBUS DEL BAJO
-58.3719647699699;-34.5966385750944;218;PARAGUAY;ALEM LEANDRO N. AV.;;ENTRE PARAGUAY Y MARCELO T. DE ALVEAR;SI;28 - 56 - 91 - 126 - 132;;METROBUS DEL BAJO
